name,description,industry
AMERICAN SYSTEMS,"Founded in 1975, AMERICAN SYSTEMS is an employee-owned federal government contractor supporting national priority programs through our strategic solutions in the areas of: Enterprise IT, Test & Evaluation, Acquisition & Lifecycle Support, Engineering & Analysis, and Training.


With approximately 1,600 employees across the United States, AMERICAN SYSTEMS is known for anticipating and responding rapidly to our customersÕ present and future needs. 


Within the government sector, our focus is on Defense; Intelligence; Federal Law Enforcement; U.S. Outreach; and Healthcare.


AMERICAN SYSTEMS was named to the Forbes list of America's Best Employers 2021 and to the 2021 Top Workplaces USA list by Energage. AMERICAN SYSTEMS is a nine-time Northern Virginia Family Service ""Companies As Responsive Employers""_ (CARE) award winner; a Top 10 Employer - Military Friendly¨; a Best of the Best Top Veteran Friendly Companies Ð U.S. Veterans Magazine; and a Virginia Values Veterans Ð Official V3 Certified Company.",IT Services and IT Consulting
ComputER,"Providing custom IT consuting services to small / medium businesses and residential. Full scope of services including networking, new system sales, computer repairs, tune-ups, virus removal. Also provide full integration of major business systems (security, telephone, copiers, etc.) to business computer / network systems. Fully bilingual speaking PC as well as Mac.",IT Services and IT Consulting
TP-Link,"Founded in 1996, TP-Link is a global provider of reliable networking devices and accessories, involved in all aspects of everyday life. The company is consistently ranked by analyst firm IDC as the No. 1 Wi-Fi products provider for 10 years.


TP-Link supplies distribution to more than 120 countries and serving hundreds of millions of people worldwide. With a proven heritage of stability, performance and value, TP-Link has curated a portfolio of products that meet the networking needs of all individuals. Now, as the connected lifestyle continues to evolve, the company is expanding today to exceed the demands of tomorrow.


*According to latest published IDC Worldwide Quarterly WLAN Tracker Report, Q4 2020 Final Release.",IT Services and IT Consulting
Gfi Espa–a,"Inetum (ex Gfi) is an IT Consulting and Services company present in 26 countries around the world and with more than 27,000 professionals. In Spain, Inetum has more than 2,900 highly qualified professionals in 17 offices throughout the country and 1 innovation centre located in Madrid. We provide global solutions to clients in everything related to Information Systems, Consulting, Design and Conception, Development and Implementation, as well as in Evolutionary and Corrective Maintenance and in the Support of Systems and Applications in Production. Our consultants and project development teams have extensive experience in process improvement, content management, distributed systems, I*Net architectures, integration and testing, with a focus on mission critical applications. The technical support teams, made up of professionals specialised in a wide range of platforms and systems, are responsible for 24x7 support in some of the most important companies in Spain, with guaranteed intervention times. Outsourcing activities (help desks, operation centres, system testing teams, etc.) are also an important area of activity for Inetum, with extensive facilities equipped exclusively for these tasks. In summary, at Inetum we provide a complete range of services and solutions, endorsed by ISO 9001 certification: * Specialised Consultancy (Process Re-engineering, Content Management, Systems Integration, Distributed Systems Architecture, I*Net Architectures, Systems Testing, ...) * Development of turnkey projects. * Provision of Professional Services. * Support 24x7 to systems in production. * Complete outsourcing of Help Desk and Operation Centres.",IT Services and IT Consulting
NEC Australia,"NEC has delivered world-class technology solutions and services to customers across the globe, for more than a century. For over 50 years in Australia, NEC has built a sophisticated technology and anything-as-a-service company which brings together the best technology and the best people to ensure our customers capture maximum value from their IT and networking investments. NEC connects people through reliable communication infrastructure while also helping to keep communities safe and secure with intelligent surveillance systems and the world's leading biometrics identification technologies.


NEC has a century-long history of innovation. From its cornerstone ideal - ÒOrchestrating a brighter worldÓ - NEC integrates technologies, expertise and ideas from around the world. Through value co-creation with customers and partners, NEC Australia aims to realise a brighter and more prosperous future that maintains a compatible balance between customer needs and societal expectations. NEC is focusing its energies on designing and delivering end-to-end technology and communications solutions which meet customersÕ needs throughout their entire business lifecycle.",IT Services and IT Consulting
AT Consulting,"- Founded in 2001
- We Provide: IT applications implementation, development, support and maintenance consulting services; operation and strategy business consulting services. 
- Large Scale Projects in Russia and CIS Countries - Partnership with Global Leaders: Oracle, SAP, SAS, IBM, Microsoft, Informatica, MicroStrategy, Avaya, etc.
- Company Management gained experience from the top international companies (IBM, Accenture, Oracle). 
- 2 300+ Consultants experienced in CRM, DWH, CBS, ERP, SOA, Billing, ECM implementation projects.
- Top Rated as one of the leading Software Integrator companies in Russian Federation & CIS Countries 
- All of Our Projects are Highly Successful! We have superior credentials and reputation.",IT Services and IT Consulting
Intralot,"INTRALOT, a public listed company established in 1992, is a leading gaming solutions supplier and operator active in 42 regulated jurisdictions around the globe. With Û0.7 bn turnover and a global workforce of more than 3.800 employees in 2019, INTRALOT is an innovation-driven corporation uniquely positioned to offer market-tested solutions and retail operational expertise to lottery and gaming organizations across geographies. 


INTRALOT, based on its strategic approach Ôi-shapes the futureÕ, has invested in the development of next-generation gaming solutions and services to support LotteriesÕ modernization and digital transformation. In this context, the company has designed a new ecosystem of holistic omni-channel solutions that focus on the playersÕ modern needs and offers an advanced playing experience through all distribution channels, across all verticals (Lottery, Betting, Interactive, VLT). INTRALOT adopted a global growth strategy designed around synergies with local partners aiming to expand our market penetration capacity and diversify our product portfolio in local markets. 


As member of the UN Global Compact, INTRALOT is a global corporate citizen committed to sustainable development and is an active proponent of the principles of Responsible Gaming, being awarded with the WLA Responsible Gaming Framework Certificate. The Company maintains the highest security certifications, as itÕs the first international vendor in the gaming sector to be certified under the World Lottery Association (WLA) Security Control Standard in 2008 and is being recertified with up to date Control Standard.


INTRALOT contributes decisively to the future developments of the industry being a member of the major Lottery and Gaming Associations around the globe.
Platinum Contributor of WLA and Premium Partner of European Lotteries. In 2018 INTRALOT has become an Associate Member of GLMS, the state lotteriesÕ mutualized monitoring system on sports betting.",IT Services and IT Consulting
Virtustream,"Virtustream, a Dell Technologies business, is the enterprise-class cloud service and software provider trusted by enterprises worldwide to migrate and run their mission-critical applications in the cloud. For enterprises, service providers and government agencies, VirtustreamÕs xStream management platform and Infrastructure-as-a-Service (IaaS) meets the security, compliance, performance, efficiency and consumption-based billing requirements of complex production applications in the cloud - whether private, public or hybrid.",IT Services and IT Consulting
Compugen Inc,"Compugen is Canada's largest privately-owned and operated IT solutions and service provider. We work with leading technology partners to develop the best solutions for our customers and deliver solutions and services from 12 offices across Canada and the U.S.


Compugen provides comprehensive IT solutions including but not limited to:


- IT Planning and Roadmaps; 
- Converged Datacentre; 
- Cloud Computing;
- Server Virtualization;
- Enterprise Storage;
- Data Management and Protection;
- Business Communications;
- Networking;
- Wireless;
- Managing the desktop;
- Mobility;
- Application delivery;
- Security;


Simplifying the business of technology... together.",IT Services and IT Consulting
GXS,"GXS is the worldÕs largest integration services provider, connecting more than 550,000 companies, including 22 of the top 25 supply chains, exchange electronic transactions with their partners. Each year, we manage more than 12 billion transactions for retailers, manufacturers and banks. 


Many of our customers choose to use our B2B integration services as an outsourced service, where we manage everything from trading partner setup, daily transactions and the transaction visibility and governance.",IT Services and IT Consulting
RM plc,"The RM plc group of businesses creates and maintains an extensive range of innovative solutions and services - all designed or selected to meet the specific needs of educational users.


RM is the leading provider of ICT to UK education and we have been successful in what we do for nearly 50 years. We provide software systems, services and infrastructure to schools, colleges, universities and examination bodies.",IT Services and IT Consulting
Prime Focus Technologies,"Prime Focus Technologies (PFT) is the creator of Enterprise Resource Planning (ERP) software, CLEARª for the Media & Entertainment (M&E) industry. It offers broadcasters, studios, brands and service providers transformational solutions that help them lower their Total Cost of Operations (TCOP) by automating the supply chain and managing their business of content better.


PFT works with major M&E companies like Channel 4, Turner, PBS, The Walt Disney Company-owned Star TV, Hearst, CBS Television Studios, The Walt Disney owned-20th Century Fox Television Studios, Lionsgate, Starz Media (a Lionsgate company), Showtime, A+E Networks, Complex Networks, HBO, IFC Films, Miramax, CNBC Africa, TERN International, Sony Music, Google, YouTube, Novi Digital Ð Hotstar, Amazon, HOOQ, ViacomÕs Voot, Cricket Australia, BCCI and Indian Premier League. 


PFT is the technology subsidiary of Prime Focus, the global leader in M&E industry services. For more information visit www.primefocustechnologies.com",IT Services and IT Consulting
IMS Health Relationship Management,"Quintiles and IMS Health have come together to become IQVIA, The Human Data Science Companyª",IT Services and IT Consulting
Accelya Group,"Accelya is a leading global technology and service provider to the air transport industry, delivering innovative change at speed and scale. Our market-leading Passenger Cargo, and Industry platforms support airline retailing from offer to settlement. For more than 40 years, weÕve been the industryÕs partner for change, simplifying airline financial and commercial processes. As a result, we're always driving the airline industry forward, from partnering with IATA on industry-wide initiatives to creating strategic solutions that simplify airline processes.
WeÕre proudly putting control back in the hands of airlines so they can move further, faster.",IT Services and IT Consulting
Inetum-Realdolmen,"Inetum-Realdolmen, an company in the European Inetum Group, with about 1,950 highly skilled ICT professionals in Belgium, helps more than 1,000 customers in the Benelux to realize their Digital Flow.",IT Services and IT Consulting
DigitalGlobe,"DigitalGlobe is a leading global provider of commercial, high-resolution, world imagery products and services. Sourced from our own advanced satellite constellation and aerial network, our imagery solutions support a wide variety of uses from mapping and analysis to navigation technology. With advanced collection sources, a comprehensive ImageLibrary and a range of online and offline products and services, we enable clients to access and integrate imagery seamlessly into business operations and applications.",IT Services and IT Consulting
DSA,"Founded in 1963, Data Systems Analysts, Inc. (DSA) has been providing Defense and Federal Government customersÕ mission-driven Information Technology and consulting solutions and services for more than 50 years. DSA's people excel in helping our customers achieve sensitive, mission-critical business goals and objectives. DSA is a 100 percent employee-owned company: every employee has a stake in the success of our company and our customers.


Since its inception, DSA has played an important role in supporting the U.S. Government. As one of its first major programs, DSA partnered with the U.S. Department of Defense (DoD) to provide a secure and reliable messaging system for America's fighting forces and our allies. Today, we provide high-end solutions across the Federal customer spectrum, including DoD and Civil agencies.


DSA has deep expertise and comprehensive understanding of the operational, security, collaboration, and identity management challenges our customers must address. We are ISO 9001:2015 and ISO/IEC 27001:2013 registered and appraised at CMMI Maturity Level 3 for Service Projects and for Development. DSAÕs service offerings include Systems Engineering and Integration, Software Development, Data Analytics, Cyber Operations and Security, Systems Modernization, Cloud Solutions, Enterprise Collaboration and Knowledge Management, and Critical Infrastructure Intelligence Systems. DSA is headquartered in Trevose, PA and has major operations in 23 states and in various locations in the National Capital Region.",IT Services and IT Consulting
HAND Enterprise Solutions LTD.,"HAND Enterprise Solutions was established in 1996 in Asia Pacific and is now a leading global software service provider and developer. Celebrating it's 20th year Anniversary in 2016, HAND recently opened up their USA headquarters in Milpitas, CA.


HAND Enterprise Solutions has been awarded top level Partnership status by both ORACLE and SAP. HAND is credited with over 10,000 projects related to ORACLE and SAP implementations, supported by 4,500 consultants and most importantly, 2,000 successful customers worldwide. HAND concentrates on several industry verticals such as manufacturing, finance, trade, telecommunication, e-commerce, media, and real estate. When you need comprehensive and global capabilities performed by reliable professionals, HAND can show you our past successes and help your company succeed too.",IT Services and IT Consulting
SunGard Financial Systems - now part of FIS,"FIS has acquired SunGard. For updates and the latest news, visit FIS on LinkedIn or our website: FISGlobal.com.",IT Services and IT Consulting
DISYS,"Digital Intelligence Systems, LLC (DISYS) is a global technology and consulting firm specializing in Managed Services, Business, Consulting, and IT/Non-IT Staffing Services. DISYSÕ Managed Services Provider (MSP) channel comes with a dedicated Centralized Delivery Team that purely focuses on addressing clientsÕ temporary staffing and Scope of Work needs from new client acquisition, to client operations and management, to delivery. DISYS is a CMMI Level 5 SVC 2.0 company


Founded in 1994 and headquartered in McLean, Virginia, DISYS is defined by its core values of collaboration, respect, accountability, and ingenuity, as well its value-driven partnerships with consultants worldwide. 
As a leading global enterprise, DISYSÕ experts are thought leaders in the industry, who bring best-in-class expertise to more than 250 Fortune 500 companies. Recognized as a Top 20 Staffing Provider and one of the Largest Staffing Firms in the U.S., as well as a leading Diversity Staffing Firm by Staffing Industry Analysts (SIA), DISYS is also a certified Minority Business Enterprise (MBE) and Top Supplier to 7 of 10 leading global MSPs. The company encourages the use of Women Business Enterprise (WBE), Disabled Business Enterprise (DBE), Small Business Enterprise (SBE), Veteran Business Enterprise (VBE), and Service-Disabled Veteran Business Enterprise (SDVBE) subcontractors to support our clientsÕ participation goals and create a space where M/W/D/S/V/SDVBEs can network, train, mentor, and work together to thrive. As a Top 100 Diversity-Owned Business Award winner DISYS helps clients meet their diversity spending targets. 


DISYS nimbly collaborates with clients, employees, and consultants to leverage our extensive experience and bring top outcomes. This includes harnessing its culture of fearless innovation to achieve new levels of technical leadership. DISYSÕ approach brings the optimal mix of solutions, people, and technologies to propel clients toward their goals.",IT Services and IT Consulting
Ugam,"Ugam, a Merkle company, is a leading analytics and technology services company. Our customer-centric approach delivers impactful business results for large corporations by leveraging data, technology, and expertise. We consistently deliver superior, impactful results through the right blend of human intelligence and AI. With 3200+ people spread across locations worldwide, we successfully deploy our services to create success stories across industries like Retail & Consumer Brands, High Tech, BFSI, Distribution, and Market Research & Consulting. Over the past 21 years, Ugam has been recognized by several firms including Forrester and Gartner, named the No.1 data science company in India by Analytics Insight, and certified as a Great Place to Work¨.",IT Services and IT Consulting
Maveric Systems Limited,"Started in 2000, Maveric Systems is a niche, domain-led, BankTech specialist, that partners with global banks to solve their business challenges through emerging technology. Our 3000+ technology specialists and proven frameworks help our customers navigate a rapidly changing environment, enabling sharper definition of their goals and measures to achieve them. .


We accelerate digital transformation in retail, corporate & wealth management lines of business through


Inherent banking domain strength
A customer intimacy led delivery model
Differentiated talent, with layered competency Ð deep domain and tech leadership, supported by a culture of ownership, energy, and commitment to customer success.
Our global presence spans across 15 countries with regional delivery capabilities in Bangalore, Chennai, Dubai, London, Poland, Riyadh and Singapore. We have specialized competencies across Data, Digital, Core Banking and Quality Engineering. Through our commitment to finding the best solutions for customers, we have been able to establish ourselves as a Òtrusted partnerÓ to many global banks who expect us to deliver their challenging digital transformations.",IT Services and IT Consulting
Instructure,"Through software, content, professional development, open integrations, and an amazing user community, The Instructure Learning Platform makes edtech more personal and student success more equitable.




Copyright © 2016, Instructure, Inc.
All rights reserved.",IT Services and IT Consulting
RMSI,"RMSI is a global leader in geospatial and engineering solutions. These solutions address global issues of climate change, natural calamities, human habitation, food security, autonomous transportation, smart utilities and networks. 


RMSI's core competency lies in providing solutions across the entire geospatial value chain - from data enhancement including every manner of data conversion to software development, modeling, analytics, and consulting. 


RMSI has the highest levels of certifications and accreditations for its processes, information security and health and safety standards including CMMI Level 5, ISO 27001:2013, ISO 14001:2015, ISO 9001:2015 and ISO 45001:2018.",IT Services and IT Consulting
Salient CRGT,"For over 20 years, Salient CRGT has upheld its mission to ""empower our diverse, hard-working team to deliver high-value solutions that make positive impacts on missions and lives."" 


August 18, 2021, marks the day we officially united with D.C.-based management consulting firm, GovCIO. This integration brings together two premier government IT providers with unmatched expertise, agility, and innovation; weÕre now better positioned than ever to offer comprehensive services and products that meet customersÕ evolving needs. 


With a larger team, enhanced capabilities, and complementary leadership, weÕve emerged as the new GovCIO. Part of GovCIO's mission is to lead with empathy, understand our customersÕ challenges, and provide specialized solutions that exceed their expectations. 


Our established partnerships, deep experience in federal IT, and our dedication to building and sustaining mutually beneficial long-term relationships, confirms our commitment to customersÕ mission success. 


Learn more about our company, culture, and services at www.governmentcio.com",IT Services and IT Consulting
Lufthansa Systems,"Lufthansa Systems GmbH & Co. KG is one of the worldÕs leading providers of IT services in the airline industry. It draws its unique strengths from an ability to combine profound industry know-how with technological expertise and many years of project experience. Formed as a spin-off of the Lufthansa Systems Group's Airline Solutions division, the company continues the brand now familiar to the airline industry worldwide.


The company offers its more than 350 customers an extensive range of successful and in many cases market-leading products for the aviation industry.
The innovative IT products and services in this portfolio offer customers a wide range of economic benefits while also contributing to improving efficiency and competitiveness. In addition, Lufthansa Systems also supports its customers both within and outside the Lufthansa Group with consulting services and the experience it has gained in projects for airlines of every size and business model.


Lufthansa Systems has offices in Germany and 16 other countries and employs about 2,400 people.


Impressum: https://www.lhsystems.de/impressum
DatenschutzerklŠrung: https://www.lhsystems.de/datenschutzpolicy",IT Services and IT Consulting
GIS,"GIS | HireRight was established in 1966 and is one of the nation's oldest and largest background screening providers. Originally founded to provide screening services to the insurance industry, GIS | HireRight has expanded dramatically in the years since by providing services to companies large and small across all industries. Today, we help some of the worldÕs largest organizations hire better employees, bring on better volunteers and engage better contractors. 


GIS | HireRight is headquartered out of Irvine, California. GIS | HireRight operates many additional operations offices, includuing offices in Columbia, South Carolina, Dallas, Texas, and more. 


GIS | HireRight is consistently recognized by clients for excellence in our services and support. We have twice been formally recognized by the United States Postal Service in their annual Supplier Performance awards. Out of more than 20,000 vendors that provide services to the USPS, less than 20 are recognized each year. We were recognized for Supplier Innovation in 2010 and for Supplier Excellence in 2015. 


WeÕve also received a number of awards from organizations recognizing our growth (Hire Power Award from Inc. Magazine, Fastest Growing Companies in South Carolina from the State of South Carolina Chamber of Commerce), our products and services (Hot List of Background Screening Providers from Workforce Management Magazine, Hot List of E-Recruitment Providers from Workforce Management Magazine) and our talent (American In-House Design Award from Graphic Design USA). 


Finally, GIS | HireRight is accredited by both the BBB and the NAPBS. BBB Accreditation is given to companies that are committed to being trustworthy and telling the truth, while NAPBS Accreditation is given to companies that follow high standards in dealing with background checks and personal data.",IT Services and IT Consulting
PETRONAS Digital Sdn Bhd,"Who We Are


PETRONAS Digital Sdn Bhd is a diverse workforce driving future-proof innovative solutions to enable PETRONAS to be a progressive energy and solutions partner, enriching lives for a sustainable future.",IT Services and IT Consulting
Barracuda,"At Barracuda we strive to make the world a safer place. We believe every business deserves access to cloud-enabled, enterprise-grade security solutions that are easy to buy, deploy, and use. We protect email, networks, data, and applications with innovative solutions that grow and adapt with our customersÕ journey. More than 150,000 organizations worldwide trust Barracuda to protect them Ð in ways they may not even know they are at risk Ð so they can focus on taking their business to the next level.",IT Services and IT Consulting
J Brand Ltd,"Originally set up in 1933 by Joseph Brand as an electrical contracting and repair business in Margaret Street W1, the company today still operates today with the same guiding principle of ""Customer Service""_ underpinning all its many core activities.


With Headquarters still based in Margaret Street, J Brand now directly employs over 120 Staff many located regionally - and offers a nationwide-/-European service.


Diversification has also enabled J Brand to flourish, with pioneering work being conducted in the late 1970s, when data communications was in its infancy.


With the addition of a dedicated support desk facility, configuration centres in London and the North West of England and continued investment in personnel, J Brand is able to offer customers a total network solution for projects across technologies and vertical market sectors.


The success of J Brand is all about listening to clients and tailoring a solution to meet specific business needs.


A significant amount of the projects that the Company undertakes involves working at multiple sites across the country, with a typical installation involving over 1000 sites, across the UK and into Europe that require data and electrical installations as well as PC/EPOS deployment. J Brand can deliver this type of project to tight timescales and often out of normal office hours because of the highly skilled and professional staff.


While the industry trend seems to be towards sub-contract staff, J Brand does not believe this to be the best way forward. J Brand can guarantee the quality of the installations by employing over 120 engineers and never using sub-contract labour.",IT Services and IT Consulting
CPQD,"With a focus on innovation in information and communication technologies, CPQD maintains a comprehensive portfolio of solutions that are used in the most diverse market segments in Brazil and abroad, and accelerate the generation of value in the process of digital transformation contributing to excellence the transformation of user experience, the reinvention of business models, security and compliance, and the creation of new products. Technological reference in the country, CPQD integrates the ecosystem of open innovation that has been leveraging entrepreneurship, through its notorious competence in Internet of Things, Artificial Intelligence, Connectivity, Blockchain and Electric Mobility. CPQD is a private, 40+ year old organization that delivers services and develops mission-critical product and systems technologies adhering to the complex needs of the marketplace. These are the results of its Innovation, R&D program, which is the basis for innovation in its strategic themes in the future of smart cities, smart agribusiness and advanced manufacturing. The CPQD operates throughout the journey of innovation - from idea to implementation - and is passionate about the technology that generates development, progress and promotes the well-being of society.",IT Services and IT Consulting
NAGRA,"NAGRA, the digital TV division of the Kudelski Group (SIX:KUD.S), provides security and multiscreen user experience solutions for the monetization of digital media. We provide content providers and DTV operators worldwide with secure, open and integrated platforms and applications over broadcast, broadband and mobile platforms, enabling compelling and personalized viewing experiences.",IT Services and IT Consulting
NHS Connecting for Health,"NHS Connecting for Health closed on 31 March 2013, replaced by the Health & Social Care Information Centre (HSCIC). HSCIC became NHS Digital on 1 August 2016. Please now follow NHS Digital.",IT Services and IT Consulting
Wicresoft,"Through our Advisory Ñ Solutions Ñ Operations model, Wicresoft develops client solutions that create efficiencies and improve technology platforms. With 10,000+ employees in the US and worldwide, our vast portfolio offering includes: 
* Talent Acquisition 
* Recruitment Marketing 
* Staff Augmentation 
* Diversity, Equity, & Inclusion 
* Custom Talent Portals 
* Telecom Network Strategy 
* Managed Telecom Services 
* Cloud Solutions 
* IT Infrastructure 
* IT Security Solutions 
* Managed IT Services & Support 


Leveraged by many Fortune 500 companies across the country, including over 2,700 Microsoft dedicated resources, our services are matched only by our excellence in client delivery, focus on innovation with a strong roadmap, and world-class recruiting.",IT Services and IT Consulting
EXILANT Technologies Private Limited,"EXILANT is a leading provider of Information Technology (IT) Services and Custom products using various distributed models to clients worldwide. Our sphere of operations includes Application Lifecycle Management, Infrastructure Lifecycle Management & Product Lifecycle Management.


Founded in 2004, we have grown to staff of 1300+ with offices in India, USA, UK and Singapore. Our leadership team professionals have been pioneers of growth in Information Technology since the dot-com bubble days, managing programs and delivering mission critical systems to Fortune 1000 clients. 


We were the recipient of the ÒBest Performer AwardÓ under the SMBs (50 Ð 80 cr) category at the Software Technology Parks of India IT exports awards. We are an ISO 9001:2008 and ISO 27001:2005 certified company as a result of our commitment towards effectively and consistently delivering value to our clients.


We provide services and products in enterprise mobility, business intelligence and analytics, user experience/interface (UI/UX) design and development, enterprise application integration to BFSI, Hi-Tech, Retail, Telco, Transportation/Logistics, Textiles, Apparel, Dairy and Construction industry segments. 


Our aim is to serve clients with solutions that can be built with a quick turnaround, easily maintained with a high predictability of cost.",IT Services and IT Consulting
Myown,Under construction!,IT Services and IT Consulting
Nihilent,"Nihilent is a Global Consulting and Services Company using a human-centered approach for problem-solving and change management, NihilentÕs comprehensive range of expertise in customer research, process, and technology enables newer heights of business performance. Our drive for performance change is through Transformation, Innovation, and Optimization. 


Nihilent has a significant presence in India, USA, UK, Australia, and South Africa, Sweden. We are a CMMI¨ Level 5 appraised and ISO 9001: 2015 certified company.",IT Services and IT Consulting
delaware BeLux,"WHAT do we do?
We are delaware: a global company that delivers advanced IT solutions and services, guiding organizations through their business and digital transformations. We provide companies with the tools to achieve their mission-critical priorities and future-proof their businesses. Today, more than 2,600 delaware professionals are working in 14 countries spread over Europe, Asia and the Americas.


HOW do we do it?
We develop, innovate and implement international business consulting, effective strategies and change management solutions. In addition to our partnerships with SAP, Microsoft, Salesforce and OpenText, we rely on a select group of technology partners to support our customers in creating a truly omnichannel customer experience.


WHY do we do it?
Above all, we want to do the right thing. We truly believe that innovation, technology and sustainability go hand in hand. We take pride in the solutions we build and the services we offer. You can rely on us.


we commit. we deliver.


EN: http://www.delaware.pro/en-be
FR: http://www.delaware.pro/fr-be",IT Services and IT Consulting
AppLabs,"AppLabs is the worldÕs largest software testing and quality management company. The company has emerged as the largest global provider of software testing services by acquiring US-based KeyLabs Inc and UK-based IS Integration. AppLabs had also acquired ValueMinds, an award-winning developer of automated testing tools. AppLabsÕ extensive testing experience, in-depth industry knowledge, partnerships with major tool vendors and broad testing tool expertise has ensured that our clientsÕ business outcome meets time, cost and quality targets.


AppLabs offers a combination of consulting, outsourcing, offshore and specialist services across all types of software testing and quality management activity. AppLabs further strengthened its portfolio by investing in core intellectual property (IP) assets for test automation (e.g., Enterprise Test Automation Platform [eTAPª]), proprietary test methodology (SCORE Methodologyª), and cloud solutions.


The services are delivered through the AppLabs Delivery Method which incorporates industry best practice and supports our CMMI Level 5, ISO27001:2005 and ISO 13485:2003 accreditations. Headquartered in Philadelphia, USA, the company maintains advanced testing facilities in the US, UK and in India.",IT Services and IT Consulting
Torry Harris Business Solutions,"Our Brand
Torry Harris Integration Solutions - ÒTHISÓ, is our commitment to increase the digital ability of enterprises through integration, to assist them in building meaningful digital communities that enhance income opportunities for all.


We bring a strong business-technology vision, compelling API strategies and mature API program delivery to help accelerate your digital journey.


The Company
Torry Harris Business Solutions (THBS), founded in 1998, is headquartered in New Jersey, USA. The company is a trusted advisor to enterprises worldwide, helping them extend the power of digital access through integration. As a recognized leader in API Strategy and delivery, Torry Harris brings 20+ years of focused expertise in delivering business-outcome based, niche IT solutions to accelerate enterprise digital transformation initiatives, API Management, Digital Ecosystem Enablement and Digital Marketplace strategies.


The company has offices in USA, UK, Ireland, France, Austria, Germany and UAE, to serve local markets, with development centres in Bangalore and Gurugram (India).


For more information about the company, please visit https://www.torryharris.com/",IT Services and IT Consulting
Tribal Group,"Solutions that underpin success across the student lifecycle.


We empower our customers to transform the digital student experience with greater efficiency, and improved outcomes through cloud-based solutions that ensure value every step of the way.


Website: http://www.tribalgroup.com
Blog: http://www.blog.tribalgroup.com",IT Services and IT Consulting
Quinnox,"Quinnox is your agile, business-results-driven digital technology partner. Leveraging the power of human and applied intelligence, we simplify business processes, improve customer experiences and create exceptional business value for forward-thinking enterprises.

We offer collaborative, cost-effective, and high-value solutions to our clients by strategically allying with product technology behemoths such as SAP, Salesforce, SAG, MuleSoft, Calypso, Azure, AWS, etc.

With the unique combination of cognitive solutions, conversational platforms, SaaS solutions and, human and applied intelligence, we have ably changed the business dynamics of many of our clients across Retail & Consumer, Manufacturing, Banking & Financial, Insurance, Hi-Tech, Logistics & Distribution, etc. Our data-driven digital solutions are curated to unlock the hidden potential of businesses across the digital value chain, helping to accelerate success today and tomorrow.

Quinnox is privileged and proud to serve as a trusted strategic technology partner to several of the worldÕs prominent and global Fortune brands, as well as companies that are leaders in very specialized industries. We have not just taken the game to the next level, but changed the game for many of our customers across various industries.

Website:
https://www.quinnox.com/

Social Media:
LinkedIn Ð https://www.linkedin.com/company/QuinnoxInc
Facebook Ð https://www.facebook.com/QuinnoxInc
Twitter Ð https://twitter.com/QuinnoxInc

Connect with us: 
For any sales/solutions related queries: marketing@quinnox.com",IT Services and IT Consulting
VCE,"Dell EMC: Converged Platforms & Solutions Division is focused on the next evolution of IT, the next generation data center and the future of cloud computing. 


Through our portfolio of converged solutions, Dell EMC accelerates the adoption of converged infrastructure and cloud-based computing solutions that reduce IT costs while improving time to market. We deliver the industry's only fully integrated and virtualized cloud infrastructure systems, allowing customers to focus on business innovation instead of integrating, validating, and managing IT infrastructure.",IT Services and IT Consulting
Onward Technologies Limited,"Established in 1991, Onward Technologies is a publicly listed digital and engineering services company enabling global businesses to translate their vision to reality. Every day, we are driven by the purpose of delivering our clientsÕ imagination to perfection. We help them innovate and stay ahead of the curve with our capabilities in digital, embedded systems, electronics, and mechanical engineering services industries with deep expertise in Industry 4.0, intelligent automation, autonomous driving, data science, and analytics. Our clients trust us for our expertise in harnessing todayÕs technology and openness towards tomorrowÕs possibilities.

Headquartered in Mumbai, India, we are also a powerhouse of ideas, an employer of choice driving positive change as a responsible corporate citizen. With over 2500 team members across 13 offices in 6 countries, Onward supports multiple businesses across Transportation & Mobility, Industrial & Heavy Machinery, Healthcare, and Hi-Tech verticals.",IT Services and IT Consulting
Bechtle,"With more than 80 system houses and IT e-commerce in 14 countries, Bechtle is one of EuropeÕs leading IT providers and never more than a stoneÕs throw away. Founded in 1983, the group is headquartered in Neckarsulm, Germany, and currently has more than 13,000 employees.


Bechtle offers its 70,000+ customers from the fields of industry and trade, the public sector and the financial market a comprehensive, cross-vendor portfolio of IT infrastructure and IT operation solutions. 


Bechtle is listed in the MDAX and TecDAX indexes. In 2021, its revenue amounted to Û5.31 billion. 
For more information, see bechtle.com.",IT Services and IT Consulting
Verscend,"Verscend Technologies is now Cotiviti, a leading solutions and analytics company that is reshaping the economics of healthcare, helping its clients uncover new opportunities to unlock value. Please follow Cotiviti on LinkedIn for future updates, and visit our website at www.cotiviti.com.",IT Services and IT Consulting
